depth,address,op,output,inputs,note
0,0x180410e26,CAST,tmp:0x1000045d,tmp:0x11f00,
1,0x180410e19,LOAD,tmp:0x11f00,const:0x1b1 | tmp:0x10000455,
2,0x180410e19,PTRSUB,tmp:0x10000455,tmp:0x1000026e | const:0x0,
3,0x180410e19,PTRSUB,tmp:0x1000026e,tmp:0x4780 | const:0x0,
4,0x180410e19,PTRADD,tmp:0x4780,RAX | const:0x1 | const:0x10,
5,0x180410d5f,CALL,RAX,mem@ram+0x180ad9720 | tmp:0x11f00 | tmp:0x1000037b,
6,0x180410d48,CAST,tmp:0x11f00,tmp:0x100003e1,
7,0x180410d48,LOAD,tmp:0x100003e1,const:0x1b1 | tmp:0x4880,
8,0x180410d48,PTRSUB,tmp:0x4880,RCX | const:0x98,
9,0x1804126db,INTERPROC_CALL,RCX,RCX,cross-function: ClientSocket_SendPacket_m68C1B768E4A4D63C287F9C1A6FBE978237CCA2F1 -> ClientSocket_HandleSendPacket_m4B08B9DAD7CF99FBB01422F40A08DE3154A62CA6 param[0]
10,0x18062252f,INTERPROC_CALL,RCX,tmp:0x10000715,cross-function: PacketBuilder_FlushWithWaitingResponsePacket_m7BBDE6DDA02153D9E451A17900D4CDC5E8603AAD -> ClientSocket_SendPacket_m68C1B768E4A4D63C287F9C1A6FBE978237CCA2F1 param[0]
11,0x18062252f,CAST,tmp:0x10000715,tmp:0x11f00,
12,0x180622515,LOAD,tmp:0x11f00,const:0x1b1 | tmp:0x1000070d,
13,0x180622515,PTRSUB,tmp:0x1000070d,tmp:0x1000058e | const:0x0,
14,0x180622515,PTRSUB,tmp:0x1000058e,tmp:0x4880 | const:0x0,
15,0x180622515,PTRADD,tmp:0x4880,RAX | const:0xb | const:0x10,
16,0x1806224fe,CALL,RAX,mem@ram+0x180b870b0 | mem@ram+0x182f48238,
17,0x1806224f7,MULTIEQUAL,mem@ram+0x182f48238,mem@ram+0x182f48238 | mem@ram+0x182f48238,
10,0x180622783,INTERPROC_CALL,RCX,tmp:0x10000110,cross-function: PacketBuilder_Flush_mD411D32F93974B74766614EDAC11758498BCF4EF -> ClientSocket_SendPacket_m68C1B768E4A4D63C287F9C1A6FBE978237CCA2F1 param[0]
11,0x180622783,CAST,tmp:0x10000110,tmp:0x11f00,
12,0x180622763,LOAD,tmp:0x11f00,const:0x1b1 | tmp:0x10000108,
13,0x180622763,PTRSUB,tmp:0x10000108,tmp:0x100000d0 | const:0x0,
14,0x180622763,PTRSUB,tmp:0x100000d0,tmp:0x4880 | const:0x0,
15,0x180622763,PTRADD,tmp:0x4880,RAX | const:0xb | const:0x10,
16,0x180622754,CALL,RAX,mem@ram+0x180b870b0 | mem@ram+0x182f48238,
17,0x18062274d,MULTIEQUAL,mem@ram+0x182f48238,mem@ram+0x182f48238 | mem@ram+0x182f48238,
10,0x1806226b6,INTERPROC_CALL,RCX,tmp:0x10000091,cross-function: PacketBuilder_Flush_m9C449297749F469960CE559D1224AD7ECA0DA576 -> ClientSocket_SendPacket_m68C1B768E4A4D63C287F9C1A6FBE978237CCA2F1 param[0]
11,0x1806226b6,CAST,tmp:0x10000091,tmp:0x11f00,
12,0x18062269b,LOAD,tmp:0x11f00,const:0x1b1 | tmp:0x10000089,
13,0x18062269b,PTRSUB,tmp:0x10000089,tmp:0x10000069 | const:0x0,
14,0x18062269b,PTRSUB,tmp:0x10000069,tmp:0x4880 | const:0x0,
15,0x18062269b,PTRADD,tmp:0x4880,RAX | const:0xb | const:0x10,
16,0x18062268c,CALL,RAX,mem@ram+0x180b870b0 | mem@ram+0x182f48238,
17,0x180622685,MULTIEQUAL,mem@ram+0x182f48238,mem@ram+0x182f48238 | mem@ram+0x182f48238,
9,0x180410a80,INTERPROC_CALL,RCX,RCX,cross-function: ClientSocket_FlushReservedNGSPacket_mCA4DCE9814FFC2320E1544FC95030F0E46DAAC40 -> ClientSocket_HandleSendPacket_m4B08B9DAD7CF99FBB01422F40A08DE3154A62CA6 param[0]
10,0x180413144,INTERPROC_CALL,RCX,RCX,cross-function: ClientSocket_Update_mDAF01584BB8BCA1D792E10CD8DE6AFEDBB09F54A -> ClientSocket_FlushReservedNGSPacket_mCA4DCE9814FFC2320E1544FC95030F0E46DAAC40 param[0]
6,0x180410d2a,MULTIEQUAL,tmp:0x1000037b,mem@ram+0x182f3c928 | mem@ram+0x182f3c928,
7,0x180410d11,MULTIEQUAL,mem@ram+0x182f3c928,mem@ram+0x182f3c928 | mem@ram+0x182f3c928,
